,gamename,avg,publisher,developer,tag_common,multi,genre_common,plat_count
825,0,431.223717948718,71,24,20,0,1,2
826,0,136.64236363636368,5,10,20,0,1,2
827,0,229.70403846153843,71,24,20,0,1,3
828,0,761.8931730769235,19,23,20,0,3,1
833,0,35.87363636363636,100,2,20,0,2,5
834,0,108.04642857142859,1,2,20,1,2,3
835,0,70.34142857142857,10,9,20,0,3,4
837,0,28.4383908045977,2,4,20,0,1,10
839,0,3460.2402439024404,2,1,20,0,4,1
840,0,389.7134693877551,72,8,14,0,2,5
841,0,603.040652173913,1,1,20,0,3,3
842,0,1944.169111111111,17,1,19,0,3,4
843,0,3004.7527272727275,13,3,20,0,3,4
845,0,140.5288405797101,1,1,20,0,5,4
846,0,262.38964912280693,1,1,20,1,1,4
847,0,69.76519230769227,4,2,20,0,2,1
849,0,8.997076923076923,2,3,20,0,3,6
851,0,55.532321428571414,100,6,20,0,4,5
853,0,64.38040404040406,116,8,20,0,2,3
855,0,3411.540384615385,12,129,1,0,1,3
856,0,1174.43,12,129,1,0,1,3
857,0,278.5336046511629,12,129,1,0,1,3
858,0,271.4271153846153,12,129,1,0,1,3
859,0,537.4060416666666,12,129,1,0,1,3
865,0,68.18702127659576,5,7,20,0,3,5
866,0,883.813275862069,9,9,20,0,4,1
867,0,9775.305689655172,1,2,20,0,3,3
868,0,7442.8533333333335,1,1,20,0,3,1
869,0,536.5107407407406,42,1,20,0,2,1
870,0,2092.6081967213113,29,1,19,0,1,4
871,0,104.78461538461536,90,13,20,0,1,2
874,0,427.50431818181823,10,3,20,0,3,7
875,0,7848.438695652175,7,3,20,0,3,4
876,0,235.23954545454546,3,13,20,0,1,2
877,0,44.7670512820513,37,1,20,0,5,6
878,0,3460.5628749999996,3,5,20,0,6,3
879,0,20.26168674698795,1,2,20,0,3,3
880,0,34286.6172463768,19,20,20,1,4,6
881,0,819.5157303370786,294,1041,9,0,2,2
882,0,342.95322580645166,3,3,20,0,4,6
885,0,2849.5842424242414,1,1,20,0,8,1
886,0,32969.03689655172,4,5,20,1,5,4
887,0,142.96474358974356,3,7,19,0,1,2
889,0,246.72490384615392,8,19,20,0,2,1
890,0,133.83298076923074,9,19,20,0,2,1
891,0,200.25134615384607,8,19,20,0,2,1
892,0,2699.0002564102565,1,1,20,0,5,1
893,0,2559.4767441860463,100,2,20,0,5,1
894,0,9777.483030303028,13,4,20,0,2,5
896,0,108.22970149253732,6,6,20,0,3,5
905,0,97.16272727272728,23,18,20,0,1,4
906,0,167.17754098360652,3,5,20,0,2,7
909,0,179.655,90,25,20,0,1,4
910,0,1350.1189010989012,90,28,20,0,2,5
912,0,1316.4871153846154,90,25,20,0,1,4
913,0,312.05865671641794,25,27,20,0,3,1
914,0,16.835499999999996,25,27,20,0,1,3
915,0,208.8082758620689,3,4,20,0,3,7
916,0,171.27340425531915,21,16,20,0,3,5
919,0,48.362432432432435,1,1,20,1,6,3
920,0,1591.379838709677,2,1,20,0,5,1
921,0,166.16590000000005,44,2,20,0,3,5
923,0,376.1721359223301,18,20,20,0,5,1
924,0,81.78985294117649,1,1,20,0,5,1
925,0,7547.218333333333,1,2,20,0,2,3
926,0,4.652588235294117,2,2,18,0,2,3
927,0,46.633076923076935,100,18,20,0,2,2
930,0,305.30915254237294,74,6,20,0,2,5
932,0,220.60852459016397,100,12,20,0,2,3
934,0,228.3759375,269,11,20,0,4,5
935,0,179.77602564102563,269,11,20,0,4,4
937,0,1860.796333333333,2,2,20,1,7,3
939,0,917.3706944444447,1,1,20,0,5,5
941,0,150.50679012345677,4,3,20,0,3,8
942,0,14.552424242424241,1,1,20,0,3,1
943,0,681.7662500000001,71,17,17,0,1,1
945,0,27880.540673076925,53,21,20,0,1,3
946,0,26976.115094339628,53,21,20,0,1,7
947,0,1798.617532467533,53,21,20,0,1,3
949,0,185.79142857142858,3,4,20,0,2,4
950,0,826.5774038461543,51,5,20,0,4,1
953,0,6847.114318181819,1,1,20,0,2,7
954,0,403.51649350649353,1,1,20,0,3,4
955,0,17.056404494382022,3,4,20,0,3,8
956,0,1086.3585483870968,1,4,20,0,4,5
957,0,507.86185185185184,54,45,20,0,2,3
958,0,1156.866666666667,54,45,20,0,2,3
959,0,44.89939393939393,54,45,20,0,1,1
960,0,173.67302083333334,25,15,20,0,1,3
961,0,491.3833333333333,25,15,9,0,1,3
962,0,665.9066666666668,5,5,6,0,2,2
963,0,549.7233333333332,14,1,20,0,3,3
966,0,158.019347826087,216,1,20,0,3,4
974,0,715.0785714285714,294,35,20,0,3,6
975,0,4191.944943820224,4,8,20,0,4,2
976,0,129.35072916666667,96,1,20,0,5,1
977,0,37.6548076923077,10,11,19,0,2,4
979,0,161.3922115384616,1,2,20,1,2,3
980,0,346.8384090909092,50,5,20,1,5,5
983,0,529.2137500000001,9,9,20,0,7,2
984,0,37.47788732394367,1,2,20,0,4,1
986,1,2321.6496875000003,3,2,20,0,4,1
987,0,438.6555208333334,12,20,20,0,4,3
988,0,1558.9417307692306,6,3,20,0,3,3
990,0,3940.639195402299,10,3,20,1,5,3
991,0,14096.480634920632,1,1,20,0,3,9
995,0,29.107241379310338,7,9,20,0,3,9
996,0,488.7671428571428,5,21,18,0,4,1
997,0,247.5114583333333,269,21,15,0,3,1
998,0,225.56313725490196,294,7,19,0,2,3
999,0,10308.721967213112,269,140,20,1,2,3
1000,0,835.8633333333333,5,1,20,0,3,1
1001,0,280.0255072463767,2,1,20,0,3,1
1002,0,71.12016949152542,2,5,19,0,4,3
1003,0,685.1160869565219,12,1,17,0,2,1
1004,0,433.21864864864875,1,1,20,0,3,4
1006,0,1635.5050819672126,116,129,20,1,1,2
1007,0,242.99730769230763,50,2,20,1,4,6
1009,0,314.1605154639175,15,15,20,0,2,1
1010,0,391.74192307692294,15,15,20,0,2,2
1011,0,1296.8287500000001,15,15,20,1,3,1
1012,0,92.24064102564101,87,13,20,0,1,3
1013,0,2418.9617857142853,8,12,20,0,1,4
1014,0,1139.1144,8,12,20,0,3,2
1015,0,238.03584905660384,1,1,20,0,2,2
1017,0,313.8011111111111,1,2,14,0,6,2
1018,0,19.994509803921563,3,4,20,0,3,5
1019,0,51.87929292929293,3,4,20,0,2,5
1020,0,36.70174999999999,2,2,18,0,5,1
1021,0,368.67894230769247,228,8,18,0,1,2
1022,0,392.5851923076924,228,8,20,0,1,1
1023,0,85.35677083333333,9,8,19,0,3,6
1024,0,398.26591549295773,2,3,20,0,5,1
1025,0,1009.4621739130436,269,45,20,0,2,5
1029,0,41.6676595744681,26,1,20,0,2,3
1030,0,2815.1786666666667,156,21,20,0,2,3
1031,0,477.58000000000015,7,1,20,0,5,3
1032,0,125.2952475247525,21,3,15,0,1,1
1033,0,21.14527027027027,1,1,20,0,3,1
1034,0,2059.2100000000005,6,7,20,1,1,3
1035,0,246.24761904761908,2,2,16,0,5,3
1038,0,227.4504347826087,156,8,20,0,1,3
1039,0,52885.25288461538,33,42,20,1,2,3
1040,0,68.80009615384611,33,42,20,0,1,3
1042,0,62.50089552238808,1,1,20,1,3,3
1043,0,3446.165,2,5,5,0,5,4
1044,0,429.8441095890411,1,3,20,0,2,6
1045,0,323.8575862068964,45,1,7,0,1,3
1046,0,19101.220769230764,3,1,20,0,4,13
1048,0,145.81574712643678,26,16,20,0,3,8
1049,0,16.708153846153845,1,2,20,0,2,3
1050,0,1073.6577884615383,2,3,20,0,4,2
1051,0,6761.852894736841,13,4,20,0,1,10
1052,0,115.75197802197802,71,3,20,0,1,4
1053,0,11.963563218390801,8,5,20,0,2,2
1054,0,356.9,294,2,20,0,3,4
1055,0,1385.2728124999999,294,2,20,0,3,3
1056,0,81.37846153846155,71,11,20,0,1,4
1060,0,9627.537250000005,71,3,20,0,2,1
1062,0,12554.643888888892,71,23,20,0,1,3
1063,0,880.0962222222221,71,1,16,1,1,5
1064,0,269.648024691358,63,7,20,0,5,9
1065,0,471.78749999999997,63,3,20,0,3,6
1066,0,226.9370129870129,71,6,20,0,1,5
1067,0,319.9824390243903,71,6,20,0,2,3
1068,0,110.11379746835445,100,4,20,0,4,2
1069,0,22.02542372881356,50,2,20,0,3,6
1070,0,44.22761194029853,1,1,20,0,3,5
1071,0,4294.306585365854,1,1,20,0,1,2
1072,0,133.0801063829787,24,30,20,1,4,3
1073,0,1688.464126984126,1,1,20,0,6,2
1074,0,124.81012500000001,135,63,20,0,1,3
1075,0,1386.2685897435897,2,2,20,0,4,5
1076,0,873.5695192307692,4,4,20,0,3,2
1077,0,40.191111111111105,1,1,15,0,2,3
1080,0,43.05900000000001,4,4,20,0,2,4
1081,0,43.306428571428576,4,4,18,0,2,3
1083,0,10.471142857142857,12,1,20,0,3,4
1085,0,5541.492222222222,44,12,20,0,2,4
1086,0,127.5766336633664,1,2,20,0,2,3
1087,0,149.5535416666667,87,7,20,0,2,3
1088,0,21.58967741935484,1,1,20,0,3,8
1089,0,262.1381481481481,5,18,20,0,3,8
1090,0,53.44038461538461,1,2,20,0,3,6
1092,0,25.674358974358974,2,4,20,0,2,4
1094,0,999.6433653846153,2,22,20,0,1,2
1095,0,14698.256000000001,7,22,20,0,1,4
1097,0,193.01142857142858,1,1,20,0,2,6
1098,0,159.78101123595513,26,27,20,0,3,8
1099,0,18.629166666666666,7,5,13,0,2,2
1100,0,2630.7177777777783,4,4,20,0,1,3
1101,0,291.6935714285714,6,4,20,0,2,6
1103,0,954.6668831168832,15,13,20,0,3,6
1104,0,19.662843137254907,4,6,20,0,1,10
1107,0,693.1214705882354,7,3,20,0,4,3
1108,0,9.594903846153846,2,2,16,0,1,3
1109,0,1157.839259259259,171,1,20,0,2,1
1110,0,18.659480519480518,100,1,20,0,3,4
1111,0,51.88660194174758,4,9,20,0,3,6
1112,0,3173.9702083333336,294,2,20,0,2,3
1113,0,52743.43301587306,294,43,20,0,1,3
1114,0,286.6969791666667,294,2,20,0,2,4
1115,0,5254.115833333332,294,13,20,0,3,3
1116,0,1666.3875000000007,29,20,19,0,2,7
1117,0,92.2764423076923,4,4,20,0,1,4
1118,0,1599.4264705882356,4,4,20,1,4,6
1119,0,220.37158536585363,13,1,20,1,4,4
1121,0,3226.088767123287,216,25,20,0,1,3
1125,0,7704.948555555556,216,25,20,0,1,2
1126,0,3067.439903846153,85,19,20,0,1,3
1127,0,14254.356956521737,85,19,20,0,2,3
1128,0,5272.802586206896,8,9,20,0,2,3
1129,0,15897.610000000004,85,19,20,0,2,3
1130,0,1148.6748837209304,5,5,20,0,4,1
1131,0,360.67181818181814,5,5,20,0,2,1
1132,0,57.942258064516125,4,1,20,0,3,1
1133,0,219.93737704918033,2,1,19,0,7,1
1134,0,817.9920000000001,1,3,20,1,3,3
1135,0,244.81874999999997,294,7,20,0,1,1
1137,0,175.2925531914894,1,1,20,0,5,3
1140,0,961.1431081081084,2,2,20,0,3,3
1141,0,126.1081707317073,4,7,20,0,3,6
1142,0,27.418596491228072,2,1,20,0,3,3
1143,0,1225.3262068965516,37,4,19,0,1,4
1144,0,3242.6746666666663,37,4,4,0,2,3
1145,0,142.54157142857142,1,1,19,0,3,1
1146,0,3236.4406666666673,6,6,20,0,3,2
1149,0,117.30250000000001,2,7,17,0,2,8
1150,0,153.40571428571425,38,7,17,0,3,1
1153,0,38.215211267605646,8,12,20,0,3,5
1154,0,468.8644230769231,2,3,20,0,2,5
1155,0,621.3167469879518,2,3,20,0,2,5
1156,0,923.817931034483,2,3,20,0,2,5
1157,0,4500.561304347827,19,23,20,0,6,4
1158,0,59.109186046511624,2,2,20,0,3,4
1159,0,190.8832857142857,4,5,12,0,3,4
1160,0,1527.9157575757579,216,3,20,0,2,5
1161,0,299.9788333333333,269,35,20,0,2,3
1162,0,422.8821739130435,45,2,20,0,5,1
1163,0,257.05151515151516,2,2,20,1,3,7
1164,0,413.4384375,8,9,20,0,3,3
1165,0,154.10170212765962,1,1,20,0,5,1
1166,0,439.6993269230769,116,129,20,0,1,4
1167,0,1429.4437878787878,1,2,20,0,2,6
1169,0,185.8321739130435,2,6,7,0,3,1
1171,0,313.67499999999995,74,1,20,0,4,1
1172,0,17081.197407407406,1,1,20,0,5,3
1173,0,135.06035087719297,2,2,20,0,3,6
1174,0,6217.123999999998,1,1,20,1,1,1
1175,0,17.84394230769231,3,4,20,0,2,9
1177,0,239.73776315789473,216,44,20,0,3,4
1179,0,105.94471153846149,142,2,20,0,1,1
1180,0,286.1648837209302,87,8,20,0,2,4
1181,0,235.90311111111106,4,2,20,1,5,5
1183,0,562.0588461538466,269,140,20,0,1,1
1184,0,444.2183653846154,1,1,20,0,5,1
1185,0,66.37313432835819,3,1,14,0,4,4
1186,0,155.91903614457826,5,6,20,0,2,2
1187,0,28.42344827586206,5,6,20,0,2,1
1188,0,617.7564102564104,7,11,20,0,5,3
1192,0,499.9513888888891,1,1,13,0,2,3
1193,0,548.6082352941177,1,1,20,0,5,1
1194,0,11832.947894736844,12,8,20,1,1,5
1196,0,108.05255319148937,7,11,20,1,3,3
1197,0,2644.810875,36,7,20,0,3,4
1198,0,32797.08275510203,1,11,20,0,2,6
1200,0,859.2140476190477,87,21,20,0,3,3
1201,0,98.99144230769227,216,18,20,0,1,1
1202,0,535.4227884615382,216,18,20,0,1,1
1204,0,296.93310344827574,85,59,20,0,3,3
1205,0,208.52032258064514,1,2,20,0,4,1
1206,0,432.75840909090897,24,30,19,0,4,3
1207,0,184.74192307692311,216,5,20,0,1,3
1208,0,429.21477777777795,17,25,20,0,2,3
1209,0,3965.248809523809,17,25,20,0,2,3
1214,0,108.29915254237288,7,3,20,0,3,3
1215,0,98.49000000000004,4,6,20,1,4,4
1216,0,34.83450980392157,10,2,20,0,2,4
1217,0,86.61158730158729,3,2,20,1,3,3
1218,0,595.2405128205128,1,2,20,0,6,1
1219,0,282.3815094339623,1,1,20,0,3,6
1220,0,967.4201666666669,1,1,15,0,4,1
1222,0,740.7217073170733,4,6,20,0,1,5
1225,0,822.9166666666669,5,5,19,0,4,1
1226,0,252.07724137931035,1,14,20,0,3,1
1227,0,19.836442307692305,1,1,20,0,1,7
1228,0,184.67182926829273,7,22,20,0,3,3
1230,0,5475.9487804878045,7,19,20,0,4,1
1231,0,114.16758620689657,2,2,20,1,2,2
1232,0,105.29621359223303,63,26,18,0,1,5
1233,0,142.6917821782178,63,26,20,0,1,3
1234,0,253.4655555555557,171,1,20,0,5,3
1235,0,1057.8044897959185,3,9,16,0,1,3
1236,0,986.9150000000002,8,11,17,0,2,1
1237,0,5718.534754098362,7,7,20,1,1,4
1238,0,2713.073069306931,7,7,20,1,1,6
1239,0,1267.8358064516128,216,44,20,0,3,4
1240,0,384.05227272727274,216,44,20,0,3,2
1242,0,45.91349397590361,4,4,20,0,4,1
1244,0,288.2893103448276,2,4,20,0,3,4
1245,0,7424.96225,22,19,20,1,2,3
1247,0,166.21569444444444,54,45,20,0,1,4
1248,0,109.89076923076927,1,1,20,0,4,1
1249,0,7.786415094339621,24,30,11,0,2,1
1250,0,7.583333333333333,24,30,11,0,2,1
1251,0,9.914200000000001,24,30,11,0,2,1
1254,0,30.75512195121953,1,1,19,1,3,4
1255,0,5.2700000000000005,3,4,10,0,2,4
1256,0,381.7851562499999,1,1,9,0,3,1
1259,0,2011.753137254902,6,14,20,0,3,3
